"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 14 01:16:18 UTC 2026","Tue Apr 14 01:16:19 UTC 2026","581","tests.one_c","test_stock_delivery_methods","","","","test_1c_stock_delivery_methods_rejects_invalid_method_with_human_readable_message",""
"passed","Tue Apr 14 01:21:19 UTC 2026","Tue Apr 14 01:21:20 UTC 2026","800","tests.admin_panel.categories","test_81_delete_category_translation","","","","test_delete_category_translation_invalid_id[9999999]","Негативный тест: удаление перевода с невалидным ID категории."
"skipped","Tue Apr 14 01:19:33 UTC 2026","Tue Apr 14 01:19:33 UTC 2026","0","tests.orders","test_shop_digital_flow","","","","test_one_click_without_course_record_returns_400[client]","
    Если item.type = education_course,
    но записи в education.courses нет,
    заказ не должен создаваться
    "
"broken","Tue Apr 14 01:08:35 UTC 2026","Tue Apr 14 01:08:35 UTC 2026","0","tests.admin_panel.items","test_create_item_translation","","","","test_create_item_translation_success[de]",""
"failed","Tue Apr 14 01:23:13 UTC 2026","Tue Apr 14 01:23:14 UTC 2026","551","tests.delivery","test_get_fargo_offices","","","","test_get_fargo_offices_success[439930-partner]","Позитив: успешное получение списка офисов по city_id."
"passed","Tue Apr 14 01:13:10 UTC 2026","Tue Apr 14 01:13:11 UTC 2026","1160","tests.cart","test_23_cart_calculate_delivery_flag","","","","test_update_multi_invalid_items_payload[client]",""
"skipped","Tue Apr 14 00:58:19 UTC 2026","Tue Apr 14 00:58:19 UTC 2026","0","tests.tickets","test_01_get_tickets","","","","test_get_tickets_success[filter2-sort1-search2-pagination0-admin]","Позитивный тест: получение списка тикетов с разными комбинациями параметров"
"passed","Tue Apr 14 01:08:15 UTC 2026","Tue Apr 14 01:08:16 UTC 2026","778","tests.catalog","test_create_admin_product_translation","","","","test_create_admin_product_translation_invalid_payload[payload3-400]","Негативные проверки на создание перевода с некорректным payload."
"passed","Tue Apr 14 01:08:00 UTC 2026","Tue Apr 14 01:08:00 UTC 2026","565","tests.delivery","test_get_cities_v2","","","","test_get_cities_v2_invalid_country_id_should_fail[1.5-admin]","
    Негатив: невалидные значения country_id → 400/422
    "
"broken","Tue Apr 14 01:21:32 UTC 2026","Tue Apr 14 01:21:32 UTC 2026","0","tests.admin_panel.sliders","test_55_delete_sliders","","","","test_delete_slider_forbidden[client]","Негативный тест: попытка удаления слайдера не-админом."
"broken","Tue Apr 14 01:21:21 UTC 2026","Tue Apr 14 01:21:21 UTC 2026","0","tests.admin_panel.items","test_delete_item_translation","","","","test_delete_item_translation_forbidden[partner]","Негативный тест: удаление перевода не-админом запрещено."
"skipped","Tue Apr 14 00:51:09 UTC 2026","Tue Apr 14 00:51:10 UTC 2026","938","tests.one_c","test_cart_calculate_full_coverage","","","","test_products_negative_numbers[total_bonus--1]",""
"passed","Tue Apr 14 01:16:12 UTC 2026","Tue Apr 14 01:16:13 UTC 2026","578","tests.catalog","test_get_recommended_products","","","","test_get_recommended_products_invalid_stock_id[1.5]","
    Негативные значения stock_id
    "
"passed","Tue Apr 14 01:06:00 UTC 2026","Tue Apr 14 01:06:08 UTC 2026","7919","tests.cart","test_free_delivery_by_rc_and_belts","","","","test_free_delivery_by_belts_contract[\u041c\u043e\u0441\u043a\u0432\u0430-client-zone_3-belt_cfg2]","
    КОНТРАКТ:
    - ручка работает
    - advance_costs может быть []
    - free может быть
    - платная доставка допустима
    "
"skipped","Tue Apr 14 01:25:37 UTC 2026","Tue Apr 14 01:25:37 UTC 2026","0","tests.stock","test_update_stock","","","","test_update_stock_invalid_id[0]",""
"passed","Tue Apr 14 01:16:24 UTC 2026","Tue Apr 14 01:16:25 UTC 2026","565","tests.orders","test_group_order_v2_create","","","","test_group_order_v2_invalid_payloads[partner-payload6]",""
"skipped","Tue Apr 14 01:04:43 UTC 2026","Tue Apr 14 01:04:43 UTC 2026","0","tests.cart","test_update_location","","","","test_update_location_international_delivery_forces_ru_and_moscow",""
"passed","Tue Apr 14 01:23:14 UTC 2026","Tue Apr 14 01:23:15 UTC 2026","591","tests.delivery","test_get_fargo_offices","","","","test_get_fargo_offices_missing_city_id_should_fail[admin]","Негатив: отсутствует обязательный query-параметр city_id → 400/422."
"passed","Tue Apr 14 01:11:06 UTC 2026","Tue Apr 14 01:11:07 UTC 2026","586","tests.account","test_account_branded_wallet_upload","","","","test_upload_branded_wallet_unauthorized","Негатив: без авторизации → 401"
"passed","Tue Apr 14 01:14:18 UTC 2026","Tue Apr 14 01:14:19 UTC 2026","587","tests.delivery","test_get_dpd_offices","","","","test_get_dpd_offices_invalid_city_id_should_fail[abc-admin]",""
"passed","Tue Apr 14 01:09:16 UTC 2026","Tue Apr 14 01:09:17 UTC 2026","591","tests.admin_panel.products","test_40_create_product_brand","","","","test_create_product_brand_forbidden[partner]","Негативный тест: создание бренда не-админом запрещено."
"skipped","Tue Apr 14 01:25:47 UTC 2026","Tue Apr 14 01:25:47 UTC 2026","0","tests.admin_panel.periods","test_post_periods_by_date_interval","","","","test_post_periods_by_date_interval__200_strict[client]",""
"skipped","Tue Apr 14 01:18:07 UTC 2026","Tue Apr 14 01:18:08 UTC 2026","557","tests.cart","test_14_cart_update_personal_data","","","","test_update_personal_data_invalid_payload[partner-payload2]","
    Негатив: отсутствующие обязательные поля или невалидные значения
    "
"skipped","Tue Apr 14 01:16:50 UTC 2026","Tue Apr 14 01:16:51 UTC 2026","777","tests.reviews","test_reviews_delete_post","","","","test_reviews_delete_invalid_payload_returns_client_error[bad_delete0]",""
"skipped","Tue Apr 14 01:10:26 UTC 2026","Tue Apr 14 01:10:27 UTC 2026","581","tests.statistic","test_team_registrations","","","","test_get_team_registration_statistic_negative[payload0-partner]","Негативный тест: ошибка при получении статистики регистрации команды с невалидным телом запроса"
"passed","Tue Apr 14 01:07:55 UTC 2026","Tue Apr 14 01:07:56 UTC 2026","565","tests.delivery","test_get_cities_v2","","","","test_get_cities_v2_invalid_city_name_should_fail[a-admin]","
    Негатив: city_name — строка, minLength=2
    "
"skipped","Tue Apr 14 00:51:32 UTC 2026","Tue Apr 14 00:51:32 UTC 2026","880","tests.one_c","test_cart_calculate_full_coverage","","","","test_packaging_invalid_numbers[weight-0]",""
"broken","Tue Apr 14 01:21:17 UTC 2026","Tue Apr 14 01:21:17 UTC 2026","0","tests.admin_panel.categories","test_81_delete_category_translation","","","","test_delete_category_translation_success","Позитивный тест: удаление одного из двух переводов категории."
"skipped","Tue Apr 14 01:24:01 UTC 2026","Tue Apr 14 01:24:01 UTC 2026","0","tests.account","test_update_default_stock","","","","test_update_default_stock_positive[admin-payload0]","Позитивные тесты на изменение дефолтного склада"
"passed","Tue Apr 14 01:26:24 UTC 2026","Tue Apr 14 01:26:24 UTC 2026","570","tests.one_c","test_create_1c_stock","","","","test_create_1c_stock_bad_request_for_invalid_payload",""
"passed","Tue Apr 14 00:50:52 UTC 2026","Tue Apr 14 00:50:53 UTC 2026","607","tests.one_c","test_cart_calculate_full_coverage","","","","test_invalid_top_types[shipping_customer-string]",""
"passed","Tue Apr 14 01:10:55 UTC 2026","Tue Apr 14 01:10:56 UTC 2026","589","tests.orders","test_create_order_by_delivery_address","","","","test_create_order_invalid_data[invalid_payload3-expected_status3-partner]",""
"passed","Tue Apr 14 01:17:37 UTC 2026","Tue Apr 14 01:17:37 UTC 2026","790","tests.admin_panel.products","test_41_get_product_brand_by_id","","","","test_get_product_brand_not_found","Негативный тест: бренд не найден"
"passed","Tue Apr 14 00:53:18 UTC 2026","Tue Apr 14 00:53:19 UTC 2026","1228","tests.tickets","test_04_create_ticket","","","","test_create_ticket_success[client-attachments0-ReceivingProductsShortage]","Позитивный тест: создание тикета с разными темами и вложениями для клиента, партнера и админа"
"skipped","Tue Apr 14 01:04:20 UTC 2026","Tue Apr 14 01:04:20 UTC 2026","0","tests.account","test_account_branded_wallet_get","","","","test_get_period_bad_types_400_or_422[period2-client]","
    Негатив: некорректные типы month/year → 400/422
    "
"passed","Tue Apr 14 00:59:25 UTC 2026","Tue Apr 14 00:59:25 UTC 2026","561","tests.delivery","test_get_cities","","","","test_get_cities_invalid_region_id_should_fail[abc-admin]","
    Негатив: невалидный region_id
    "
"broken","Tue Apr 14 01:05:06 UTC 2026","Tue Apr 14 01:05:06 UTC 2026","0","tests.admin_panel.sliders","test_54_update_slider","","","","test_update_slider_invalid_payload[payload10-422]","Негативный тест: обновление слайдера с невалидным или неполным телом запроса."
"skipped","Tue Apr 14 01:27:11 UTC 2026","Tue Apr 14 01:27:12 UTC 2026","801","tests.catalog","test_get_item_by_id","","","","test_get_item_invalid_id[0]","
    Негативный тест: передан некорректный ID (тип/значение)
    "
"skipped","Tue Apr 14 01:23:52 UTC 2026","Tue Apr 14 01:23:52 UTC 2026","0","tests.account","test_family_agreement_create_one","","","","test_create_family_agreement_one_positive[client-payload0]","Позитивные тесты на создание семейного соглашения при отсутствующем втором партнере"
"skipped","Tue Apr 14 01:24:01 UTC 2026","Tue Apr 14 01:24:01 UTC 2026","0","tests.account","test_update_default_stock","","","","test_update_default_stock_positive[client-payload0]","Позитивные тесты на изменение дефолтного склада"
