"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Apr 14 00:12:56 UTC 2025","Mon Apr 14 00:12:56 UTC 2025","0","tests.account","test_token_revoke","","","","test_revoke_token_positive[authorize_admin-payload0]","Позитивные тесты на удаление токена"
"passed","Mon Apr 14 00:15:09 UTC 2025","Mon Apr 14 00:15:10 UTC 2025","185","tests.tickets","test_01_get_tickets","","","","test_get_tickets_invalid_pagination[client-invalid_pagination0-partner]","Негативный тест: передаем некорректные значения в pagination"
"skipped","Mon Apr 14 00:12:56 UTC 2025","Mon Apr 14 00:12:56 UTC 2025","0","tests.account","test_list_csv","","","","test_get_account_list_csv_positive[authorize_admin-payload1]","Позитивные тесты на выгрузку структуры партнеров в CSV"
"passed","Mon Apr 14 00:15:04 UTC 2025","Mon Apr 14 00:15:04 UTC 2025","517","tests.tickets","test_01_get_tickets","","","","test_get_tickets_success[filter2-sort1-search1-pagination1-authorize_partner]","Позитивный тест: получение списка тикетов с разными комбинациями параметров"
"skipped","Mon Apr 14 00:12:55 UTC 2025","Mon Apr 14 00:12:55 UTC 2025","0","tests.account","test_history_admin","","","","test_get_admin_history_positive[authorize_partner-payload0]","Позитивные тесты на получение истории бонусов для админа"
"passed","Mon Apr 14 00:14:48 UTC 2025","Mon Apr 14 00:14:48 UTC 2025","473","tests.tickets","test_01_get_tickets","","","","test_get_tickets_success[filter1-sort1-search2-pagination0-authorize_partner]","Позитивный тест: получение списка тикетов с разными комбинациями параметров"
"skipped","Mon Apr 14 00:17:26 UTC 2025","Mon Apr 14 00:17:28 UTC 2025","1523","tests.tickets","test_12_delete_message","","","","test_delete_ticket_message_admin_other_client[authorize_client-authorize_admin]","Негативный тест: админ пытается удалить сообщение клиента"
"skipped","Mon Apr 14 00:14:15 UTC 2025","Mon Apr 14 00:14:15 UTC 2025","0","tests.statistic","test_0_dashboard","","","","test_get_dashboard_statistic[authorize_client]","Позитивный тест: получение статистики для дашборда ""прирост или убыль в числовом виде"
"passed","Mon Apr 14 00:16:45 UTC 2025","Mon Apr 14 00:16:45 UTC 2025","176","tests.tickets","test_04_create_ticket","","","","test_create_ticket_invalid_title[partner-None]","Негативный тест: создание тикета без заголовка"
"skipped","Mon Apr 14 00:12:56 UTC 2025","Mon Apr 14 00:12:56 UTC 2025","0","tests.account","test_pass_change","","","","test_change_password_positive[authorize_client-payload1]","Позитивные тесты на изменение пароля"
"skipped","Mon Apr 14 00:14:06 UTC 2025","Mon Apr 14 00:14:06 UTC 2025","0","tests.orders","test_orders_v2_pay","","","","test_orders_v2_pay_invalid_data[partner-invalid_payload1-400]","Негативный тест: отправка некорректных данных"
"passed","Mon Apr 14 00:13:43 UTC 2025","Mon Apr 14 00:13:43 UTC 2025","510","tests.delivery","test_02_get_delivery_address","","","","test_get_delivery_addresses_invalid_pagination[invalid_pagination3-authorize_client]","Негативные тесты: передача некорректных параметров пагинации"
"skipped","Mon Apr 14 00:12:55 UTC 2025","Mon Apr 14 00:12:55 UTC 2025","0","tests.account","test_history","","","","test_get_history_positive[authorize_partner-payload0]","Позитивные тесты на получение истории аккаунта"
"passed","Mon Apr 14 00:16:02 UTC 2025","Mon Apr 14 00:16:02 UTC 2025","554","tests.tickets","test_04_create_ticket","","","","test_create_ticket_success[authorize_partner-attachments0-QuestionsAboutTheMarriageContract]","Позитивный тест: создание тикета с разными темами и вложениями для клиента, партнера и админа"
"passed","Mon Apr 14 00:15:14 UTC 2025","Mon Apr 14 00:15:14 UTC 2025","167","tests.tickets","test_01_get_tickets","","","","test_get_tickets_invalid_search[client-invalid_search1-400-partner]","Негативный тест: передаем некорректные параметры поиска"
"passed","Mon Apr 14 00:15:12 UTC 2025","Mon Apr 14 00:15:12 UTC 2025","167","tests.tickets","test_01_get_tickets","","","","test_get_tickets_invalid_pagination[partner-invalid_pagination1-client]","Негативный тест: передаем некорректные значения в pagination"
"passed","Mon Apr 14 00:14:12 UTC 2025","Mon Apr 14 00:14:12 UTC 2025","456","tests.register","test_03_register_client","","","","test_register_client_positive[authorize_client-403]","Тест: позитивные тесты для регистрации клиента вручную"
